iter	Passed	Remaining
709	871	355
710	872	354
711	872	353
712	873	351
713	874	350
714	875	348
715	875	347
716	879	347
717	881	346
718	882	344
719	883	343
720	883	342
721	885	340
722	886	339
723	886	338
724	887	336
725	888	335
726	888	333
727	889	332
728	889	330
729	890	329
730	892	328
731	894	327
732	896	326
733	897	325
734	898	323
735	899	322
736	900	321
737	900	319
738	903	319
739	904	317
740	905	316
741	905	314
742	906	313
743	907	312
744	908	311
745	910	309
746	911	308
747	912	307
748	913	305
749	913	304
750	914	303
751	914	301
752	915	300
753	916	298
754	916	297
755	917	296
756	917	294
757	918	293
758	918	291
759	919	290
760	920	288
761	920	287
762	921	286
763	921	284
764	923	283
765	924	282
766	924	280
767	925	279
768	926	278
769	926	276
770	927	275
771	928	274
772	928	272
773	929	271
774	929	269
775	930	268
776	930	267
777	931	265
778	932	264
779	932	263
780	933	261
781	933	260
782	934	258
783	935	257
784	935	256
785	936	254
786	936	253
787	938	252
788	940	251
789	941	250
790	941	248
791	942	247
792	943	246
793	944	245
794	945	243
795	945	242
796	946	241
797	947	239
798	947	238
799	948	237
800	948	235
801	949	234
802	949	233
803	950	231
804	950	230
805	951	229
806	952	227
807	953	226
808	954	225
809	955	224
810	956	222
811	957	221
812	958	220
813	958	219
814	959	217
815	959	216
816	960	215
817	961	213
818	961	212
819	962	211
820	962	209
821	963	208
822	963	207
823	964	206
824	965	204
825	965	203
826	966	202
827	966	200
828	968	199
829	969	198
830	970	197
831	970	196
832	971	194
833	972	193
834	972	192
835	973	190
836	973	189
837	974	188
838	975	187
839	975	185
840	976	184
841	976	183
842	977	182
843	977	180
844	978	179
845	978	178
846	979	176
847	980	175
848	980	174
849	981	173
850	981	171
851	982	170
852	984	169
853	985	168
854	986	167
855	986	166
856	987	164
857	988	163
858	988	162
859	989	161
860	990	159
861	990	158
862	991	157
863	991	156
864	992	154
865	992	153
866	993	152
867	993	151
868	994	149
869	995	148
870	995	147
871	996	146
872	996	145
873	998	143
874	999	142
875	1000	141
876	1001	140
877	1002	139
878	1002	138
879	1003	136
880	1004	135
881	1005	134
882	1005	133
883	1006	132
884	1006	130
885	1007	129
886	1008	128
887	1008	127
888	1009	126
889	1009	124
890	1010	123
891	1011	122
892	1011	121
893	1012	120
894	1013	118
895	1014	117
896	1016	116
897	1017	115
898	1018	114
899	1018	113
900	1019	112
901	1020	110
902	1020	109
903	1021	108
904	1021	107
905	1022	106
906	1022	104
907	1023	103
908	1024	102
909	1024	101
910	1025	100
911	1025	98
912	1026	97
913	1026	96
914	1027	95
915	1028	94
916	1029	93
917	1030	92
918	1031	90
919	1032	89
920	1032	88
921	1033	87
922	1033	86
923	1034	85
924	1035	83
925	1035	82
926	1036	81
927	1036	80
928	1037	79
929	1037	78
930	1038	76
931	1039	75
932	1039	74
933	1040	73
934	1040	72
935	1041	71
936	1042	70
937	1042	68
938	1043	67
939	1046	66
940	1047	65
941	1048	64
942	1049	63
943	1050	62
944	1051	61
945	1051	60
946	1052	58
947	1053	57
948	1053	56
949	1054	55
950	1055	54
951	1056	53
952	1057	52
953	1057	51
954	1058	49
955	1061	48
956	1062	47
957	1063	46
958	1063	45
959	1064	44
960	1065	43
961	1065	42
962	1066	40
963	1066	39
964	1067	38
965	1068	37
966	1068	36
967	1069	35
968	1070	34
969	1071	33
970	1071	32
971	1072	30
972	1073	29
973	1073	28
974	1074	27
975	1075	26
976	1076	25
977	1077	24
978	1077	23
979	1078	22
980	1079	20
981	1079	19
982	1080	18
983	1080	17
984	1081	16
985	1081	15
986	1082	14
987	1083	13
988	1083	12
989	1084	10
990	1084	9
991	1085	8
992	1086	7
993	1086	6
994	1087	5
995	1087	4
996	1088	3
997	1088	2
998	1089	1
999	1091	0
